Chọn,IMEI,Phiếu nhập,Nhà cung cấp,Ngày tồn,Ngày nhập,Ngày chuyển,Tồn cục bộ,Tên kho,Giá đặc biệt,Tên hàng,Ghi chú IMEI,Tình trạng,Loại hàng,Nhóm hàng,Đi đường,Số hóa đơn
FALSE,351424281438470,N.44NAQ.23.02.000019,,54,03/02/2023,07/02/2023,50,DON 44NAQ,,SAMSUNG GALAXY TAB A8 2022 BẠC (X205) CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,SAMSUNG CŨ,,
FALSE,RFAT804HLAZ,N.435NTT.22.08.000334,CÔNG TY TNHH SAMSUNG ELECTRONICS VIỆT NAM THÁI NGUYÊN - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,211,30/08/2022,07/02/2023,50,DON 44NAQ,,SAMSUNG GALAXY WATCH 5 44MM ĐEN (R910) - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,SAMSUNG CŨ,,00157771
FALSE,353185440529404,N.44NAQ.23.02.000209,,31,26/02/2023,02/03/2023,27,DON 44NAQ,,SAMSUNG GALAXY Z FLIP 4 5G 128GB XÁM (F721) CŨ - TRẦY XƯỚC,,Mới,HÀNG HÓA,SAMSUNG CŨ,,
FALSE,863785069507053,N.34THD.22.10.000044,CHI NHÁNH CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL - TRUNG TÂM PHÂN PHỐI - VIVO,157,23/10/2022,06/02/2023,51,DON 44NAQ,,VIVO T1X 4G 64GB XANH - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,VIVO CŨ,,00052586
FALSE,867253054438335,N.5NK.22.10.000139,CHI NHÁNH CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL - TRUNG TÂM PHÂN PHỐI - VIVO,159,21/10/2022,28/11/2022,121,DON 44NAQ,,VIVO V23E 8GB 128GB ĐEN - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,VIVO CŨ,,00051956
FALSE,860672066600656,N.7BVH.22.10.000029,CHI NHÁNH CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL - TRUNG TÂM PHÂN PHỐI - VIVO,158,22/10/2022,29/11/2022,120,DON 44NAQ,,VIVO V25E 8GB 128GB VÀNG - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,VIVO CŨ,,00052588
FALSE,869949061286306,N.457LDH.22.12.000150,CHI NHÁNH CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL - TRUNG TÂM PHÂN PHỐI - 11000_DIENTHOAI ,96,23/12/2022,31/01/2023,57,DON 44NAQ,,VIVO Y02 2GB 32GB XANH TÍM - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,VIVO CŨ,,69566
FALSE,865497062494267,N.44NAQ.22.10.000194,CHI NHÁNH CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL - TRUNG TÂM PHÂN PHỐI - VIVO,152,28/10/2022,29/01/2023,59,DON 44NAQ,,VIVO Y02S 3GB 32GB ĐEN - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,VIVO CŨ,,00056059
FALSE,865497062494523,N.44NAQ.22.10.000194,CHI NHÁNH CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL - TRUNG TÂM PHÂN PHỐI - VIVO,152,28/10/2022,16/11/2022,133,DON 44NAQ,,VIVO Y02S 3GB 32GB ĐEN - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,VIVO CŨ,,00056059
FALSE,865717061380344,N.44NAQ.22.09.000097,CHI NHÁNH CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL - TRUNG TÂM PHÂN PHỐI - VIVO,190,20/09/2022,07/02/2023,50,DON 44NAQ,,VIVO Y16 4GB 128GB ĐEN CŨ - ĐẸP,,Mới,HÀNG HÓA,VIVO CŨ,,00038813
FALSE,868450056934829,N.44NAQ.23.02.000007,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ - 11000_DIENTHOAI ,55,02/02/2023,05/03/2023,24,DON 44NAQ,,XIAOMI REDMI 10 4G 128GB XANH DƯƠNG (2022) - ĐÃ KÍCH HOẠT,,Mới,HÀNG HÓA,XIAOMI CŨ,,17027
FALSE,SH4HDJ2ZHQ12G,N.567LQD.22.03.000065,Chi Nhánh Công Ty TNHH Phân Phối Synnex FPT - APPLE,387,07/03/2022,16/03/2023,13,DON 44NAQ,,APPLE WATCH SE 44MM (4G) - VIỀN NHÔM XÁM - VẢI XÁM (MYF12) CŨ - ĐẸP,,Mới,SMARTWATCH,APPLE WATCH CŨ,,0158034
FALSE,QKG9DFJ9LG,N.253NAN.21.11.005772,Chi Nhánh Công Ty TNHH Phân Phối Synnex FPT - APPLE,504,10/11/2021,12/03/2023,17,DON 44NAQ,,APPLE WATCH SERIES 7 45MM (4G) - VIỀN NHÔM BẠC - CAO SU TRẮNG (MKJQ3) CŨ - ĐẸP,,Mới,SMARTWATCH,APPLE WATCH CŨ,,0105741
FALSE,CRF4GH6W5X,N.134NTH.22.09.000539,,182,28/09/2022,18/02/2023,39,DON 44NAQ,,APPLE WATCH SERIES 8 41MM (GPS) - VIỀN NHÔM ĐEN - CAO SU ĐEN (MNP53) CŨ - ĐẸP,,Mới,SMARTWATCH,APPLE WATCH CŨ,,
FALSE,SKY2YRXR9RY,N.CPSHCM.23.01.000154,CHI NHÁNH CÔNG TY TNHH PHÂN PHỐI SYNNEX FPT - 15000_PHUKIEN ,71,17/01/2023,16/02/2023,41,DON 44NAQ,,APPLE WATCH SERIES 8 41MM (GPS) - VIỀN NHÔM ĐEN - CAO SU ĐEN CHÍNH HÃNG (MNP53) - ĐÃ KÍCH HOẠT,,Mới,SMARTWATCH,APPLE WATCH CŨ,,4844
,33,,,,,,,,,,,,,,1,
